Programa,Tempo,Comprimento,Threads
ConcMinMaxSort,698.622882,10000000,12
ConcMinMaxSort,708.828589,10000000,12
ConcMinMaxSort,710.539170,10000000,12
ConcMinMaxSort,709.911932,10000000,12
ConcMinMaxSort,732.961587,10000000,12
ConcMinMaxSort,0.000432,1000,12
ConcMinMaxSort,0.000429,1000,12
ConcMinMaxSort,0.000329,1000,12
ConcMinMaxSort,0.000317,1000,12
ConcMinMaxSort,0.000354,1000,12
ConcMinMaxSort,0.001479,10000,12
ConcMinMaxSort,0.001154,10000,12
ConcMinMaxSort,0.001434,10000,12
ConcMinMaxSort,0.001269,10000,12
ConcMinMaxSort,0.001237,10000,12
ConcMinMaxSort,0.074750,100000,12
ConcMinMaxSort,0.074680,100000,12
ConcMinMaxSort,0.073215,100000,12
ConcMinMaxSort,0.074394,100000,12
ConcMinMaxSort,0.072241,100000,12
ConcMinMaxSort,7.034322,1000000,12
ConcMinMaxSort,7.074073,1000000,12
ConcMinMaxSort,7.073890,1000000,12
ConcMinMaxSort,7.134137,1000000,12
ConcMinMaxSort,7.240952,1000000,12
ConcMinMaxSort,0.000308,10,12
ConcMinMaxSort,0.000279,10,12
ConcMinMaxSort,0.000274,10,12
ConcMinMaxSort,0.000249,10,12
ConcMinMaxSort,0.000243,10,12
ConcMinMaxSort,0.000251,100,12
ConcMinMaxSort,0.000261,100,12
ConcMinMaxSort,0.000242,100,12
ConcMinMaxSort,0.000245,100,12
ConcMinMaxSort,0.000246,100,12
