Programa,Tempo,Comprimento,Threads
SeqMinMaxSort,0.000531,1000,
SeqMinMaxSort,0.040751,10000,
SeqMinMaxSort,4.053862,100000,
SeqMinMaxSort,410.886455,1000000,
SeqMinMaxSort,0.000000,10,
SeqMinMaxSort,0.000005,100,
SeqQuicksort,45.699376,1000000000,
SeqQuicksort,4.106202,100000000,
SeqQuicksort,0.350128,10000000,
SeqQuicksort,0.000031,1000,
SeqQuicksort,0.000274,10000,
SeqQuicksort,0.003108,100000,
SeqQuicksort,0.031850,1000000,
SeqQuicksort,0.000000,10,
SeqQuicksort,0.000004,100,
ConcMinMaxSort,698.622882,10000000,12
ConcMinMaxSort,708.828589,10000000,12
ConcMinMaxSort,710.539170,10000000,12
ConcMinMaxSort,709.911932,10000000,12
ConcMinMaxSort,732.961587,10000000,12
ConcMinMaxSort,0.000432,1000,12
ConcMinMaxSort,0.000429,1000,12
ConcMinMaxSort,0.000329,1000,12
ConcMinMaxSort,0.000317,1000,12
ConcMinMaxSort,0.000354,1000,12
ConcMinMaxSort,0.001479,10000,12
ConcMinMaxSort,0.001154,10000,12
ConcMinMaxSort,0.001434,10000,12
ConcMinMaxSort,0.001269,10000,12
ConcMinMaxSort,0.001237,10000,12
ConcMinMaxSort,0.074750,100000,12
ConcMinMaxSort,0.074680,100000,12
ConcMinMaxSort,0.073215,100000,12
ConcMinMaxSort,0.074394,100000,12
ConcMinMaxSort,0.072241,100000,12
ConcMinMaxSort,7.034322,1000000,12
ConcMinMaxSort,7.074073,1000000,12
ConcMinMaxSort,7.073890,1000000,12
ConcMinMaxSort,7.134137,1000000,12
ConcMinMaxSort,7.240952,1000000,12
ConcMinMaxSort,0.000308,10,12
ConcMinMaxSort,0.000279,10,12
ConcMinMaxSort,0.000274,10,12
ConcMinMaxSort,0.000249,10,12
ConcMinMaxSort,0.000243,10,12
ConcMinMaxSort,0.000251,100,12
ConcMinMaxSort,0.000261,100,12
ConcMinMaxSort,0.000242,100,12
ConcMinMaxSort,0.000245,100,12
ConcMinMaxSort,0.000246,100,12
ConcMinMaxSort,0.000378,1000,8
ConcMinMaxSort,0.000838,1000,8
ConcMinMaxSort,0.000265,1000,8
ConcMinMaxSort,0.000257,1000,8
ConcMinMaxSort,0.000235,1000,8
ConcMinMaxSort,0.001769,10000,8
ConcMinMaxSort,0.001830,10000,8
ConcMinMaxSort,0.002040,10000,8
ConcMinMaxSort,0.001796,10000,8
ConcMinMaxSort,0.001835,10000,8
ConcMinMaxSort,0.121643,100000,8
ConcMinMaxSort,0.129264,100000,8
ConcMinMaxSort,0.132887,100000,8
ConcMinMaxSort,0.128760,100000,8
ConcMinMaxSort,0.127511,100000,8
ConcMinMaxSort,11.770654,1000000,8
ConcMinMaxSort,11.624728,1000000,8
ConcMinMaxSort,11.669033,1000000,8
ConcMinMaxSort,11.283886,1000000,8
ConcMinMaxSort,11.310929,1000000,8
ConcMinMaxSort,0.000217,10,8
ConcMinMaxSort,0.000239,10,8
ConcMinMaxSort,0.000205,10,8
ConcMinMaxSort,0.000181,10,8
ConcMinMaxSort,0.000172,10,8
ConcMinMaxSort,0.000180,100,8
ConcMinMaxSort,0.000235,100,8
ConcMinMaxSort,0.000204,100,8
