Programa,Tempo,Comprimento,Threads
SeqMinMaxSort,4.190597,100000,
SeqMinMaxSort,417.889803,1000000,
SeqMinMaxSort,0.000000,10,
SeqMinMaxSort,0.000007,100,
SeqMinMaxSort,0.000449,1000,
SeqMinMaxSort,0.042278,10000,
SeqQuicksort,1.182421,10000000,
SeqQuicksort,0.009311,100000,
SeqQuicksort,0.104641,1000000,
SeqQuicksort,0.000001,10,
SeqQuicksort,0.000005,100,
SeqQuicksort,0.000068,1000,
SeqQuicksort,0.000798,10000,
SeqQuicksort,202.023964,1410065408,
SeqQuicksort,145.319643,1000000000,
SeqQuicksort,13.290891,100000000,
SeqQuicksort,1.188954,10000000,
SeqQuicksort,0.109537,1000000,
SeqQuicksort,0.000000,10,
SeqQuicksort,0.000006,100,
SeqQuicksort,0.000070,1000,
SeqQuicksort,0.001034,10000,
SeqQuicksort,0.009337,100000,
ConcMinMaxSort,1.071534,100000,2
ConcMinMaxSort,1.075504,100000,2
ConcMinMaxSort,1.853640,100000,2
ConcMinMaxSort,1.079624,100000,2
ConcMinMaxSort,1.079566,100000,2
ConcMinMaxSort,113.560616,1000000,2
ConcMinMaxSort,113.766739,1000000,2
ConcMinMaxSort,114.643210,1000000,2
ConcMinMaxSort,113.517929,1000000,2
ConcMinMaxSort,114.019310,1000000,2
ConcMinMaxSort,0.000091,10,2
ConcMinMaxSort,0.000096,10,2
ConcMinMaxSort,0.000089,10,2
ConcMinMaxSort,0.000085,10,2
ConcMinMaxSort,0.000064,10,2
ConcMinMaxSort,0.000064,100,2
ConcMinMaxSort,0.000078,100,2
ConcMinMaxSort,0.000090,100,2
ConcMinMaxSort,0.000127,100,2
ConcMinMaxSort,0.000079,100,2
ConcMinMaxSort,0.000257,1000,2
ConcMinMaxSort,0.000242,1000,2
ConcMinMaxSort,0.000240,1000,2
ConcMinMaxSort,0.000217,1000,2
ConcMinMaxSort,0.000270,1000,2
ConcMinMaxSort,0.012394,10000,2
ConcMinMaxSort,0.011735,10000,2
ConcMinMaxSort,0.011666,10000,2
ConcMinMaxSort,0.012026,10000,2
ConcMinMaxSort,0.011855,10000,2
ConcMinMaxSort,0.275723,100000,4
ConcMinMaxSort,0.280120,100000,4
ConcMinMaxSort,0.378929,100000,4
ConcMinMaxSort,0.278217,100000,4
ConcMinMaxSort,0.281919,100000,4
ConcMinMaxSort,32.736059,1000000,4
ConcMinMaxSort,32.673672,1000000,4
ConcMinMaxSort,33.048346,1000000,4
ConcMinMaxSort,31.511075,1000000,4
ConcMinMaxSort,31.053185,1000000,4
ConcMinMaxSort,0.000190,10,4
ConcMinMaxSort,0.000131,10,4
ConcMinMaxSort,0.000132,10,4
ConcMinMaxSort,0.000129,10,4
ConcMinMaxSort,0.000109,10,4
ConcMinMaxSort,0.000114,100,4
ConcMinMaxSort,0.000121,100,4
ConcMinMaxSort,0.000124,100,4
ConcMinMaxSort,0.000197,100,4
ConcMinMaxSort,0.000138,100,4
ConcMinMaxSort,0.000181,1000,4
ConcMinMaxSort,0.000165,1000,4
ConcMinMaxSort,0.000177,1000,4
ConcMinMaxSort,0.000175,1000,4
ConcMinMaxSort,0.000157,1000,4
ConcMinMaxSort,0.004105,10000,4
ConcMinMaxSort,0.003614,10000,4
ConcMinMaxSort,0.003333,10000,4
ConcMinMaxSort,0.003478,10000,4
ConcMinMaxSort,0.003302,10000,4
ConcMinMaxSort,0.174468,100000,6
ConcMinMaxSort,0.206510,100000,6
ConcMinMaxSort,0.229610,100000,6
ConcMinMaxSort,0.173365,100000,6
ConcMinMaxSort,0.182125,100000,6
ConcMinMaxSort,15.577067,1000000,6
ConcMinMaxSort,16.151449,1000000,6
ConcMinMaxSort,16.391638,1000000,6
ConcMinMaxSort,16.527230,1000000,6
ConcMinMaxSort,16.533019,1000000,6
ConcMinMaxSort,0.000218,10,6
ConcMinMaxSort,0.000158,10,6
ConcMinMaxSort,0.000186,10,6
ConcMinMaxSort,0.000153,10,6
ConcMinMaxSort,0.000198,10,6
ConcMinMaxSort,0.000149,100,6
ConcMinMaxSort,0.000164,100,6
ConcMinMaxSort,0.000152,100,6
ConcMinMaxSort,0.000128,100,6
ConcMinMaxSort,0.000152,100,6
ConcMinMaxSort,0.000252,1000,6
ConcMinMaxSort,0.000218,1000,6
ConcMinMaxSort,0.000211,1000,6
ConcMinMaxSort,0.000199,1000,6
ConcMinMaxSort,0.000187,1000,6
ConcMinMaxSort,0.003221,10000,6
ConcMinMaxSort,0.002975,10000,6
ConcMinMaxSort,0.002059,10000,6
ConcMinMaxSort,0.003192,10000,6
ConcMinMaxSort,0.003103,10000,6
ConcMinMaxSort,0.130168,100000,8
ConcMinMaxSort,0.131318,100000,8
ConcMinMaxSort,0.132067,100000,8
ConcMinMaxSort,0.121018,100000,8
ConcMinMaxSort,0.124226,100000,8
ConcMinMaxSort,10.351720,1000000,8
ConcMinMaxSort,10.389087,1000000,8
ConcMinMaxSort,10.346151,1000000,8
ConcMinMaxSort,10.341281,1000000,8
ConcMinMaxSort,10.290974,1000000,8
ConcMinMaxSort,0.000238,10,8
ConcMinMaxSort,0.000281,10,8
ConcMinMaxSort,0.000257,10,8
ConcMinMaxSort,0.000320,10,8
ConcMinMaxSort,0.000227,10,8
ConcMinMaxSort,0.000221,100,8
ConcMinMaxSort,0.000637,100,8
ConcMinMaxSort,0.000203,100,8
ConcMinMaxSort,0.000224,100,8
ConcMinMaxSort,0.000182,100,8
ConcMinMaxSort,0.000256,1000,8
ConcMinMaxSort,0.000259,1000,8
ConcMinMaxSort,0.000254,1000,8
ConcMinMaxSort,0.000245,1000,8
ConcMinMaxSort,0.000270,1000,8
ConcMinMaxSort,0.001995,10000,8
ConcMinMaxSort,0.001990,10000,8
ConcMinMaxSort,0.002143,10000,8
ConcMinMaxSort,0.001932,10000,8
ConcMinMaxSort,0.001936,10000,8
ConcMinMaxSort,0.064585,100000,12
ConcMinMaxSort,0.065377,100000,12
ConcMinMaxSort,0.065133,100000,12
ConcMinMaxSort,0.065375,100000,12
ConcMinMaxSort,0.065736,100000,12
ConcMinMaxSort,6.180459,1000000,12
ConcMinMaxSort,6.261412,1000000,12
ConcMinMaxSort,6.307400,1000000,12
ConcMinMaxSort,6.354016,1000000,12
ConcMinMaxSort,6.283736,1000000,12
ConcMinMaxSort,0.000281,10,12
ConcMinMaxSort,0.000277,10,12
ConcMinMaxSort,0.000407,10,12
ConcMinMaxSort,0.000278,10,12
ConcMinMaxSort,0.000288,10,12
ConcMinMaxSort,0.000319,100,12
ConcMinMaxSort,0.000459,100,12
ConcMinMaxSort,0.000319,100,12
ConcMinMaxSort,0.000258,100,12
ConcMinMaxSort,0.000277,100,12
ConcMinMaxSort,0.000312,1000,12
ConcMinMaxSort,0.000321,1000,12
ConcMinMaxSort,0.000354,1000,12
ConcMinMaxSort,0.000685,1000,12
ConcMinMaxSort,0.000352,1000,12
ConcMinMaxSort,0.001495,10000,12
ConcMinMaxSort,0.001824,10000,12
ConcMinMaxSort,0.002460,10000,12
ConcMinMaxSort,0.002151,10000,12
ConcMinMaxSort,0.002262,10000,12
ConcMinMaxSort,638.290477,10000000,12
ConcMinMaxSort,678.096191,10000000,12
ConcMinMaxSort,654.672720,10000000,12
ConcMinMaxSort,658.565079,10000000,12
ConcMinMaxSort,648.199196,10000000,12
ConcMinMaxSort,6.421027,1000000,12
ConcMinMaxSort,6.460283,1000000,12
ConcMinMaxSort,6.622194,1000000,12
ConcMinMaxSort,6.340567,1000000,12
ConcMinMaxSort,6.506980,1000000,12
ConcMinMaxSort,0.000331,10,12
ConcMinMaxSort,0.000798,10,12
ConcMinMaxSort,0.000642,10,12
ConcMinMaxSort,0.000401,10,12
ConcMinMaxSort,0.000358,10,12
ConcMinMaxSort,0.000470,100,12
ConcMinMaxSort,0.000371,100,12
ConcMinMaxSort,0.000303,100,12
ConcMinMaxSort,0.000351,100,12
ConcMinMaxSort,0.000537,100,12
ConcMinMaxSort,0.000368,1000,12
ConcMinMaxSort,0.000344,1000,12
ConcMinMaxSort,0.000353,1000,12
ConcMinMaxSort,0.000378,1000,12
ConcMinMaxSort,0.000375,1000,12
ConcMinMaxSort,0.001556,10000,12
ConcMinMaxSort,0.001614,10000,12
ConcMinMaxSort,0.001674,10000,12
ConcMinMaxSort,0.001536,10000,12
ConcMinMaxSort,0.001809,10000,12
ConcMinMaxSort,0.067896,100000,12
ConcMinMaxSort,0.069206,100000,12
ConcMinMaxSort,0.070633,100000,12
ConcMinMaxSort,0.076124,100000,12
ConcMinMaxSort,0.081811,100000,12
ConcQuicksort,1.417469,10000000,1
ConcQuicksort,1.433746,10000000,1
ConcQuicksort,1.421413,10000000,1
ConcQuicksort,1.422149,10000000,1
ConcQuicksort,1.432357,10000000,1
ConcQuicksort,0.006821,100000,1
ConcQuicksort,0.007016,100000,1
ConcQuicksort,0.007029,100000,1
ConcQuicksort,0.006932,100000,1
ConcQuicksort,0.007181,100000,1
ConcQuicksort,0.074038,1000000,1
ConcQuicksort,0.077040,1000000,1
ConcQuicksort,0.072824,1000000,1
ConcQuicksort,0.072509,1000000,1
ConcQuicksort,0.072873,1000000,1
ConcQuicksort,0.000113,10,1
ConcQuicksort,0.000065,10,1
ConcQuicksort,0.000069,10,1
ConcQuicksort,0.000058,10,1
ConcQuicksort,0.000057,10,1
ConcQuicksort,0.000064,100,1
ConcQuicksort,0.000055,100,1
ConcQuicksort,0.000056,100,1
ConcQuicksort,0.000056,100,1
ConcQuicksort,0.000052,100,1
ConcQuicksort,0.000130,1000,1
ConcQuicksort,0.000124,1000,1
ConcQuicksort,0.000109,1000,1
ConcQuicksort,0.000105,1000,1
ConcQuicksort,0.000109,1000,1
ConcQuicksort,0.000760,10000,1
ConcQuicksort,0.000760,10000,1
ConcQuicksort,0.000751,10000,1
ConcQuicksort,0.000817,10000,1
ConcQuicksort,0.000756,10000,1
ConcQuicksort,1.416075,10000000,2
ConcQuicksort,1.421034,10000000,2
ConcQuicksort,1.415401,10000000,2
ConcQuicksort,1.420951,10000000,2
ConcQuicksort,1.419474,10000000,2
ConcQuicksort,0.007309,100000,2
ConcQuicksort,0.007143,100000,2
ConcQuicksort,0.007029,100000,2
ConcQuicksort,0.007013,100000,2
ConcQuicksort,0.007080,100000,2
ConcQuicksort,0.073571,1000000,2
ConcQuicksort,0.073493,1000000,2
ConcQuicksort,0.073476,1000000,2
ConcQuicksort,0.072538,1000000,2
ConcQuicksort,0.073653,1000000,2
ConcQuicksort,0.000108,10,2
ConcQuicksort,0.000224,10,2
ConcQuicksort,0.000117,10,2
ConcQuicksort,0.000146,10,2
ConcQuicksort,0.000105,10,2
ConcQuicksort,0.000110,100,2
ConcQuicksort,0.000104,100,2
ConcQuicksort,0.000180,100,2
ConcQuicksort,0.000112,100,2
ConcQuicksort,0.000133,100,2
ConcQuicksort,0.000118,1000,2
ConcQuicksort,0.000124,1000,2
ConcQuicksort,0.000120,1000,2
ConcQuicksort,0.000117,1000,2
ConcQuicksort,0.000120,1000,2
ConcQuicksort,0.000763,10000,2
ConcQuicksort,0.000795,10000,2
ConcQuicksort,0.000759,10000,2
ConcQuicksort,0.000902,10000,2
ConcQuicksort,0.000765,10000,2
ConcQuicksort,1.326810,10000000,4
ConcQuicksort,1.325200,10000000,4
ConcQuicksort,1.326929,10000000,4
ConcQuicksort,1.415908,10000000,4
ConcQuicksort,1.335132,10000000,4
ConcQuicksort,0.008204,100000,4
ConcQuicksort,0.008184,100000,4
ConcQuicksort,0.006978,100000,4
ConcQuicksort,0.008147,100000,4
ConcQuicksort,0.008436,100000,4
ConcQuicksort,0.074213,1000000,4
ConcQuicksort,0.072024,1000000,4
ConcQuicksort,0.073329,1000000,4
ConcQuicksort,0.070050,1000000,4
ConcQuicksort,0.074085,1000000,4
ConcQuicksort,0.000167,10,4
ConcQuicksort,0.000119,10,4
ConcQuicksort,0.000113,10,4
ConcQuicksort,0.000115,10,4
ConcQuicksort,0.000115,10,4
ConcQuicksort,0.000306,100,4
